id,time,package0,pp0,dram,total
0,3,4.3701000047967896e-05,4.5532000036504136e-05,9.683201036307631e-20,4.370100004796799e-05
1,3,5.481000004800102e-05,4.486100003672032e-05,9.683201036307631e-20,5.481000004800111e-05
2,3,5.9875000048287104e-05,4.9011000036701764e-05,9.683201036307631e-20,5.98750000482872e-05
3,3,5.761700004784892e-05,6.433000003656486e-05,9.683201036307631e-20,5.7617000047849014e-05
4,3,6.341500004798966e-05,4.302900003657083e-05,9.683201036307631e-20,6.341500004798976e-05
5,3,6.481900004853763e-05,5.2185000036646266e-05,9.683201036307631e-20,6.481900004853773e-05
6,3,5.9204000048503286e-05,4.5410000036812154e-05,9.683201036307631e-20,5.920400004850338e-05
7,3,7.574500004846435e-05,5.987500003655764e-05,9.683201036307631e-20,7.574500004846445e-05
8,3,4.1931000049026107e-05,4.400700003660273e-05,9.683201036307631e-20,4.19310000490262e-05
9,3,5.6458000048387686e-05,4.2602000036625715e-05,9.683201036307631e-20,5.645800004838778e-05
10,3,5.9936000048019406e-05,5.023200003668858e-05,9.683201036307631e-20,5.99360000480195e-05
11,3,6.195100004804793e-05,5.493100003676187e-05,9.683201036307631e-20,6.195100004804802e-05
12,4,0.00013714600006451926,9.356600004886004e-05,1.2910934715076842e-19,0.0001371460000645194
13,3,6.347600004863145e-05,4.907200003666144e-05,9.683201036307631e-20,6.347600004863155e-05
14,3,5.8167000048506664e-05,4.3579000036546454e-05,9.683201036307631e-20,5.816700004850676e-05
15,3,5.5359000048320224e-05,4.205400003664504e-05,9.683201036307631e-20,5.535900004832032e-05
16,3,5.810500004752633e-05,4.406700003667861e-05,9.683201036307631e-20,5.810500004752642e-05
17,3,7.074000004848151e-05,7.366900003651932e-05,9.683201036307631e-20,7.074000004848161e-05
18,3,7.342500004795531e-05,6.121800003669119e-05,9.683201036307631e-20,7.342500004795541e-05
19,3,5.926500004823559e-05,4.614300003666681e-05,9.683201036307631e-20,5.926500004823568e-05
20,3,5.767800004758122e-05,4.30900000365305e-05,9.683201036307631e-20,5.7678000047581316e-05
21,3,5.792200004832942e-05,4.510400003667524e-05,9.683201036307631e-20,5.792200004832952e-05
22,3,5.969300004851924e-05,4.766900003667939e-05,9.683201036307631e-20,5.9693000048519334e-05
23,6,0.00019683800009657757,0.00017083700007339495,1.9366402072615262e-19,0.00019683800009657776
24,3,5.95090000480743e-05,4.5471000036544456e-05,9.683201036307631e-20,5.9509000048074394e-05
25,3,5.871600004791638e-05,4.419000003670913e-05,9.683201036307631e-20,5.8716000047916476e-05
26,3,5.676200004762016e-05,4.040500003660195e-05,9.683201036307631e-20,5.6762000047620256e-05
27,3,5.651800004778146e-05,4.541000003658478e-05,9.683201036307631e-20,5.651800004778155e-05
28,3,6.652900004899514e-05,5.389400003653787e-05,9.683201036307631e-20,6.652900004899523e-05
29,3,0.00011071800004827331,0.00010058600003665884,9.683201036307631e-20,0.0001107180000482734
30,3,5.462600004846557e-05,4.3701000036465806e-05,9.683201036307631e-20,5.462600004846566e-05
31,3,5.767800004849072e-05,4.797300003659398e-05,9.683201036307631e-20,5.767800004849081e-05
32,3,5.499200004867838e-05,4.132100003656301e-05,9.683201036307631e-20,5.499200004867847e-05
33,3,5.5297000048249385e-05,4.156500003662909e-05,9.683201036307631e-20,5.529700004824948e-05
34,3,6.32940000479541e-05,4.882800003659536e-05,9.683201036307631e-20,6.329400004795419e-05
35,4,0.0001271970000651954,0.00010797100004898439,1.2910934715076842e-19,0.00012719700006519552
36,2,6.0242000031806565e-05,4.7302000024370224e-05,6.455467357538421e-20,6.024200003180663e-05
37,3,5.767800004849072e-05,5.230700003679299e-05,9.683201036307631e-20,5.767800004849081e-05
38,3,5.804400004870352e-05,4.595900003667662e-05,9.683201036307631e-20,5.804400004870362e-05
39,3,5.70070000487069e-05,4.5654000036650865e-05,9.683201036307631e-20,5.7007000048706995e-05
40,3,6.536800004885683e-05,6.140100003657022e-05,9.683201036307631e-20,6.536800004885693e-05
41,3,8.843900004756528e-05,6.921400003651211e-05,9.683201036307631e-20,8.843900004756537e-05
42,3,5.792200004832942e-05,4.235800003678701e-05,9.683201036307631e-20,5.792200004832952e-05
43,3,5.8105000048435824e-05,4.5471000036771834e-05,9.683201036307631e-20,5.810500004843592e-05
44,3,5.584700004799764e-05,4.2969000036722315e-05,9.683201036307631e-20,5.5847000047997734e-05
45,3,7.428000004818407e-05,4.7302000036582786e-05,9.683201036307631e-20,7.428000004818417e-05
46,4,7.64150000649415e-05,7.336400004870611e-05,1.2910934715076842e-19,7.641500006494163e-05
47,4,7.537800006403537e-05,6.109600004875702e-05,1.2910934715076842e-19,7.537800006403551e-05
48,2,5.9693000032396855e-05,4.2785000024519555e-05,6.455467357538421e-20,5.969300003239692e-05
49,3,5.584700004799764e-05,4.1748000036735494e-05,9.683201036307631e-20,5.5847000047997734e-05
