id,time,package0,pp0,dram,total
0,3,6.127900004940828e-05,5.0109000036956194e-05,1.1418545389750602e-19,6.127900004940839e-05
1,3,6.121800004876647e-05,4.937800003732386e-05,1.1418545389750602e-19,6.121800004876658e-05
2,4,0.00010198900006502964,7.397400004945829e-05,1.5224727186334135e-19,0.00010198900006502978
3,4,7.098400006520688e-05,6.097400004953833e-05,1.5224727186334135e-19,7.098400006520703e-05
4,3,5.554200004899984e-05,4.266400003722205e-05,1.1418545389750602e-19,5.554200004899995e-05
5,3,6.152400004958551e-05,5.0903000036997895e-05,1.1418545389750602e-19,6.152400004958562e-05
7,3,6.115700004903418e-05,4.620400003692461e-05,1.1418545389750602e-19,6.115700004903429e-05
8,4,5.6702000065113056e-05,4.4616000049683674e-05,1.5224727186334135e-19,5.6702000065113205e-05
9,3,5.456500004839698e-05,4.345700003692522e-05,1.1418545389750602e-19,5.4565000048397094e-05
10,3,6.915300004840035e-05,5.4870000037100316e-05,1.1418545389750602e-19,6.915300004840046e-05
11,4,0.00014520300006529152,0.00012683000004970544,1.5224727186334135e-19,0.00014520300006529168
12,3,6.048500004891183e-05,4.608100003712147e-05,1.1418545389750602e-19,6.0485000048911946e-05
13,3,6.231700004883394e-05,4.7302000037108285e-05,1.1418545389750602e-19,6.231700004883404e-05
14,3,5.596900004894495e-05,4.2785000037257616e-05,1.1418545389750602e-19,5.5969000048945066e-05
15,3,5.609200004874809e-05,4.5715000037363415e-05,1.1418545389750602e-19,5.609200004874821e-05
16,3,7.067900004841293e-05,5.7434000036993296e-05,1.1418545389750602e-19,7.067900004841303e-05
17,3,8.111500004889466e-05,6.085200003723125e-05,1.1418545389750602e-19,8.111500004889477e-05
18,3,6.140100004887288e-05,4.7546000036946996e-05,1.1418545389750602e-19,6.140100004887299e-05
19,3,5.841000004948954e-05,4.6692000037511524e-05,1.1418545389750602e-19,5.841000004948965e-05
20,3,5.767800004906393e-05,4.132100003686114e-05,1.1418545389750602e-19,5.7678000049064044e-05
21,3,5.6091000048409555e-05,4.419000003723463e-05,1.1418545389750602e-19,5.609100004840967e-05
22,3,7.73310000484439e-05,8.044400003687892e-05,1.1418545389750602e-19,7.7331000048444e-05
23,2,6.0485000032598376e-05,6.408600002463654e-05,7.612363593167067e-20,6.048500003259845e-05
24,3,5.877600004970235e-05,4.3579000037299324e-05,1.1418545389750602e-19,5.8776000049702465e-05
25,3,5.767800004906393e-05,4.437300003688628e-05,1.1418545389750602e-19,5.7678000049064044e-05
26,3,5.8227000049383136e-05,4.126000003712884e-05,1.1418545389750602e-19,5.822700004938325e-05
27,3,6.030300004914396e-05,4.9561000037430266e-05,1.1418545389750602e-19,6.0303000049144074e-05
28,3,6.61010000492847e-05,5.4627000037145394e-05,1.1418545389750602e-19,6.61010000492848e-05
29,3,0.00015368700004893114,0.00010253900003714203,1.1418545389750602e-19,0.00015368700004893124
30,3,6.048600004925037e-05,4.52880000374183e-05,1.1418545389750602e-19,6.048600004925048e-05
31,3,6.201100004892439e-05,5.078100003707854e-05,1.1418545389750602e-19,6.20110000489245e-05
32,3,5.487000004887749e-05,3.9917000037222664e-05,1.1418545389750602e-19,5.4870000048877604e-05
33,3,5.639600004889006e-05,4.5593000037444056e-05,1.1418545389750602e-19,5.639600004889017e-05
34,3,6.829900004941962e-05,5.7434000036993296e-05,1.1418545389750602e-19,6.829900004941973e-05
35,4,0.0001188960000652035,7.189900004958125e-05,1.5224727186334135e-19,0.00011889600006520366
36,3,5.639600004889006e-05,4.614200003685377e-05,1.1418545389750602e-19,5.639600004889017e-05
37,3,5.5359000048893435e-05,4.3030000036980116e-05,1.1418545389750602e-19,5.535900004889355e-05
38,3,5.682400004917371e-05,3.85740000373165e-05,1.1418545389750602e-19,5.6824000049173824e-05
39,3,5.786100004917033e-05,4.7485000037214694e-05,1.1418545389750602e-19,5.7861000049170446e-05
40,3,7.336400004879622e-05,7.470700003737997e-05,1.1418545389750602e-19,7.336400004879633e-05
41,3,7.153300004921264e-05,5.3101000037132825e-05,1.1418545389750602e-19,7.153300004921274e-05
42,3,5.804400004927673e-05,4.4494000037376594e-05,1.1418545389750602e-19,5.804400004927685e-05
43,4,5.255100006502044e-05,4.626500004949939e-05,1.5224727186334135e-19,5.255100006502059e-05
44,3,5.450400004866468e-05,4.2602000037151214e-05,1.1418545389750602e-19,5.450400004866479e-05
47,3,6.836000004915193e-05,5.5786000037061375e-05,1.1418545389750602e-19,6.836000004915204e-05
48,3,6.036300004853773e-05,5.072000003734624e-05,1.1418545389750602e-19,6.0363000048537845e-05
49,3,5.65190000486932e-05,4.2115000037357594e-05,1.1418545389750602e-19,5.6519000048693314e-05
